,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
27,1842,1203,745,305,440,39,035,103600,39035103600,1554,168,101,58,28,134,42,16,9,159400,563,775,39676,74,72,77,28,24,59,57,33,72,52,91,64,14,31,12,15
28,617,243,375,57,318,39,035,103700,39035103700,551,22,0,0,0,27,0,0,0,59000,143,364,7500,218,14,37,12,22,0,4,25,0,23,0,9,0,0,0,0
29,2181,990,738,322,416,39,035,103800,39035103800,1144,26,0,14,0,9,9,12,0,50000,473,720,20000,189,58,113,63,81,34,27,61,10,41,43,0,0,0,0,0
30,2580,985,893,354,539,39,035,103900,39035103900,1423,24,16,0,6,31,13,0,0,60700,429,938,22457,260,80,72,97,74,43,65,50,29,42,32,60,14,0,9,11
31,1441,651,581,168,413,39,035,104100,39035104100,928,13,0,0,5,23,7,0,0,35900,364,518,17206,167,62,51,38,36,20,28,39,22,31,15,5,0,0,0,4
32,771,593,393,93,300,39,035,104200,39035104200,621,90,23,0,0,71,7,0,0,78000,582,423,27411,83,31,35,49,52,30,8,28,21,20,35,25,6,0,0,0
33,704,528,322,133,189,39,035,104300,39035104300,443,50,12,13,0,29,30,22,0,115400,533,343,33583,90,44,0,20,11,15,32,39,8,26,21,6,10,8,8,5
34,674,349,260,105,155,39,035,104400,39035104400,427,3,8,5,0,7,0,0,0,86400,429,228,23125,50,34,12,27,14,0,25,6,0,24,14,16,0,0,0,6
35,1084,646,454,121,333,39,035,104500,39035104500,669,41,14,32,7,34,13,0,0,67100,467,496,19327,115,59,81,58,67,0,19,26,6,19,21,11,7,0,7,0
36,978,338,357,139,218,39,035,104600,39035104600,478,39,0,0,0,18,0,6,0,56900,552,337,19375,84,57,29,30,50,12,10,16,14,10,19,0,6,0,0,0
37,585,11,196,4,192,39,035,104701,39035104701,202,0,0,0,0,0,0,0,0,0,127,228,6731,134,43,8,4,8,0,11,8,0,0,4,0,0,0,0,8
38,943,603,412,166,246,39,035,104702,39035104702,600,84,4,0,8,42,7,0,14,56300,452,440,25221,121,16,53,27,43,31,21,26,11,52,18,4,10,7,0,0
39,1961,979,684,268,416,39,035,104800,39035104800,1058,20,22,7,0,25,25,0,5,55500,445,653,23173,122,105,53,56,76,75,37,38,5,18,29,33,6,0,0,0
40,3622,1636,1166,582,584,39,035,104900,39035104900,1929,36,4,5,0,60,13,0,3,53300,491,1168,23175,260,105,128,137,97,103,60,20,50,69,75,52,12,0,0,0
41,3239,2049,1256,699,557,39,035,105100,39035105100,1895,15,15,0,0,36,7,6,0,45400,486,1252,20605,306,122,167,172,92,89,45,77,35,67,39,41,0,0,0,0
42,1079,647,390,200,190,39,035,105200,39035105200,632,23,0,0,0,0,0,6,0,49700,498,419,26458,92,35,24,48,41,40,18,0,18,13,34,30,9,11,0,6
43,3620,1932,1265,708,557,39,035,105300,39035105300,2104,70,13,5,0,4,18,22,0,59000,523,1239,29597,185,110,106,130,98,137,59,63,82,107,94,43,18,0,7,0
44,3967,2484,1477,766,711,39,035,105400,39035105400,2377,68,7,6,4,56,5,15,4,64800,503,1541,26732,274,158,146,153,91,118,117,105,44,144,75,64,28,19,0,5
45,2181,1177,820,330,490,39,035,105500,39035105500,1231,52,5,5,5,51,6,13,0,74700,427,748,29259,145,60,56,48,73,44,39,46,28,81,64,53,0,0,11,0
46,432,191,151,69,82,39,035,105601,39035105601,232,18,6,0,0,5,4,0,11,51700,551,167,22232,15,21,35,18,18,2,10,13,6,18,0,11,0,0,0,0
47,2600,1574,992,444,548,39,035,105602,39035105602,1576,22,5,0,0,31,14,10,12,63300,450,979,24505,182,97,73,148,91,47,34,92,72,74,28,16,14,5,0,6
48,4537,3756,2201,1128,1073,39,035,105700,39035105700,3228,156,13,6,0,101,15,11,0,84500,399,2184,27696,506,192,191,140,157,130,94,139,128,179,156,102,9,21,25,15
49,3144,2927,1443,1112,331,39,035,105900,39035105900,2246,109,37,0,0,102,5,6,0,85100,494,1446,31692,183,96,130,156,114,132,131,91,70,99,114,84,24,11,0,11
50,3664,3087,1647,1243,404,39,035,106100,39035106100,2650,149,41,0,0,140,50,8,8,89400,527,1651,40841,86,121,108,173,119,97,102,107,90,176,215,155,68,2,21,11
